"farmer_ID","shop_ID","knows_dealer","bought_at_dealer","duration_customer","knows_other_customer","refunds","gives_credit","gives_advice","delivers","after_sales_service","payment_mehtods","small_quant","catchID"
"F_1426","AD_227","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4"
"F_501","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_1421","AD_227","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4"
"F_505","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_510","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_507","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_506","AD_244","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","37"
"F_1429","AD_227","Yes","Yes","2018-02-01","n/a","Yes","Yes","Yes","Yes","Yes","Yes","Yes","4"
"F_1423","AD_227","Yes","Yes","2019-02-01","n/a","Yes","98","Yes","Yes","Yes","No","Yes","4"
"F_1425","AD_227","Yes","No","n/a","Yes","No","Yes","Yes","98","No","Yes","Yes","4"
"F_235","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_238","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3167","AD_107","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_236","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3168","AD_107","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_234","AD_12","Yes","Yes","2017-02-01","n/a","98","98","Yes","No","No","No","Yes","64"
"F_3170","AD_107","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_1023","AD_107","Yes","Yes","2018-02-01","n/a","No","No","Yes","No","No","No","Yes","10"
"F_3169","AD_107","Yes","No","n/a","Yes","98","No","98","98","98","98","98","10"
"F_1025","AD_107","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_3163","AD_107","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_1027","AD_107","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_1028","AD_107","Yes","Yes","2020-02-01","n/a","98","No","Yes","98","No","No","Yes","10"
"F_1026","AD_107","Yes","Yes","2017-02-01","n/a","No","No","Yes","No","No","No","Yes","10"
"F_94","AD_107","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_97","AD_107","Yes","Yes","2014-02-01","n/a","98","No","No","No","No","98","Yes","10"
"F_100","AD_107","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_91","AD_107","Yes","Yes","2015-02-01","n/a","No","No","No","No","No","No","Yes","10"
"F_92","AD_107","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_98","AD_107","Yes","Yes","2018-02-01","n/a","98","98","Yes","No","No","98","Yes","10"
"F_99","AD_107","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_96","AD_107","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","10"
"F_2982","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_95","AD_107","Yes","Yes","2019-02-01","n/a","98","98","Yes","No","98","No","Yes","10"
"F_2983","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_93","AD_107","Yes","Yes","2018-02-01","n/a","98","98","Yes","No","98","98","Yes","10"
